"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"DRR374644" 0 0.36 0.64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374645" 0.450333333333333 0 0.268 0 0.281666666666667 0 0 0.0793333333333333 0.371 -5.55111512312578e-17 0 0.062 0 0.0173333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374646" 0.693 0.0276666666666667 0.107333333333333 0.0286666666666667 0.132333333333333 0.004 0.00700000000000023 0.158333333333333 0.534666666666667 0 0.0223333333333333 0.0223333333333333 0.046 0.00133333333333333 0.0146666666666667 0.0516666666666667 0 0 0.0116666666666667 0 0.0106666666666667 0 0 0 0 0.0116666666666667 0 0.0106666666666667 0 0 0 0 0 0 0 0.0116666666666667 0 0 0 0 0 0 0.0116666666666667 0
"DRR374647" 0.332 0.0336666666666667 0.249 0.0516666666666667 0.272666666666667 0.015 0.0459999999999999 0.186 0.144333333333333 0.00166666666666665 0.0943333333333333 0.0643333333333333 0.001 0.0186666666666667 0.00766666666666667 0 0 0.0826666666666667 0 0 0.0116666666666667 0 0 0 0.0826666666666667 0 0 0.0116666666666667 0 0 0 0 0.0826666666666667 0 0 0 0 0 0 0.0826666666666667 0 0 0 0
"DRR374648" 0.226666666666667 0 0.431 0.0246666666666667 0.277333333333333 0.0156666666666667 0.0246666666666667 0.045 0.181666666666667 -2.77555756156289e-17 0.045 0 0 0 0 0 0 0 0 0 0.045 0 0 0 0 0 0 0.045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374650" 0.16895459345301 0.209081309398099 0.306934178106301 0 0.151707145371348 0 0.163322773671243 0.0922210489264344 0.0767335445265751 0 0.038718760999648 0.0038718760999648 0.0457585357268567 0.0038718760999648 0 1.38777878078145e-17 0 0 0.038718760999648 0 0 0 0 0 0 0.038718760999648 0 0 0 0 0 0 0 0 0 0.038718760999648 0 0 0 0 0 0 0.038718760999648 0
"DRR374651" 0.505501833944648 0 0.232077359119707 0 0.204068022674225 0.00300100033344448 0.055351783927976 0.347782594198066 0.157719239746582 0 0.0460153384461487 0.176392130710237 0 0.125375125041681 0 0 0 0 0.0460153384461487 0 0 0 0 0 0 0.0460153384461487 0 0 0 0 0 0 0 0 0 0.0460153384461487 0 0 0 0 0 0 0.0460153384461487 0
"DRR374652" 0.416666666666667 0.02 0.197333333333333 0.0393333333333333 0.191333333333333 0.135333333333333 0 0.173333333333333 0.243333333333333 0 0.059 0.0546666666666667 0.0596666666666667 0 0 0 0 0.059 0 0 0 0 0 0 0.059 0 0 0 0 0 0 0 0.059 0 0 0 0 0 0 0.059 0 0 0 0
"DRR374655" 0.0786666666666667 0.017 0.659333333333333 0 0.245 0 0 0.00133333333333333 0.0773333333333333 -1.38777878078145e-17 0.00133333333333333 0 0 0 0 0 0 0 0.00133333333333333 0 0 0 0 0 0 0.00133333333333333 0 0 0 0 0 0 0 0 0 0.00133333333333333 0 0 0 0 0 0 0.00133333333333333 0
"DRR374657" 0.517 0.0126666666666667 0.0673333333333333 0.000333333333333333 0.401 0 0.00166666666666659 0.0293333333333333 0.487666666666667 0 0.0103333333333333 0.0103333333333333 0 0.008 0.000666666666666667 0 0 0 0.0103333333333333 0 0 0 0 0 0 0.0103333333333333 0 0 0 0 0 0 0 0 0 0.0103333333333333 0 0 0 0 0 0 0.0103333333333333 0
