"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"ERR11006514" 0.977686703096539 0.0223132969034608 0 0 0 0 0 0.968579234972678 0.00910746812386157 0 0.201730418943534 0.163934426229508 0.1316029143898 0 0.418032786885246 0.0532786885245902 0.0063752276867031 0.0487249544626594 0.0692167577413479 0 0.0491803278688525 0.0122950819672131 0.0159380692167577 0.00546448087431694 0.0487249544626594 0.0692167577413479 0 0.0491803278688525 0.0122950819672131 0.0168488160291439 0.00956284153005465 0 0.0441712204007286 0.00364298724954463 0.000910746812386157 0.0268670309653916 0 0.00819672131147541 0 0.0487249544626594 0 0 0.0218579234972678 0
"ERR11006515" 0.924815724815725 0.0746928746928747 0 0 0.000491400491400491 0 0 0.914987714987715 0.00982800982800983 0 0.261916461916462 0.178869778869779 0.166584766584767 0.000491400491400491 0.258476658476658 0.0486486486486487 0.0108108108108108 0.0722358722358722 0.0997542997542998 0 0.0457002457002457 0.0113022113022113 0.0221130221130221 0.0103194103194103 0.0727272727272727 0.105159705159705 0 0.0457002457002457 0.0113022113022113 0.0167076167076167 0.00982800982800983 0 0.0687960687960688 0.00343980343980344 0 0.0525798525798526 0 0.0137592137592138 0 0.0727272727272727 0 0 0.0393120393120393 0
"ERR11006516" 0.947253942359978 0.0527460576400217 0 0 0 0 0 0.944535073409462 0.00271886895051659 1.11022302462516e-16 0.215334420880914 0.162588363240892 0.180532898314301 0 0.307232191408374 0.0788471995649809 0.0065252854812398 0.0282762370853725 0.0929853181076672 0 0.023926046764546 0.0163132137030995 0.0473083197389886 0.00598151169113649 0.0288200108754758 0.0957041870581838 0 0.023926046764546 0.0163132137030995 0.044589450788472 0.0201196302338227 0 0.0277324632952692 0.000543773790103317 0 0.0309951060358891 0 0.023926046764546 0 0.0288200108754758 0 0 0.0299075584556824 0
"ERR11006517" 0.981859410430839 0.018140589569161 0 0 0 0 0 0.981292517006803 0.000566893424036281 0 0.574829931972789 0.198412698412698 0.0595238095238095 0 0.103174603174603 0.0453514739229026 0.00453514739229025 0.00963718820861678 0.53968253968254 0 0.0107709750566893 0.000566893424036281 0.00963718820861681 0.00453514739229025 0.00963718820861678 0.541383219954649 0 0.0107709750566893 0.000566893424036281 0.00793650793650791 0.00566893424036281 0 0.00736961451247166 0.00226757369614512 0 0.51984126984127 0 0.00850340136054422 0 0.00963718820861678 0 0 0.503968253968254 0
"ERR11006518" 0.970466627288836 0.0295333727111636 0 0 0 0 0 0.943886591848789 0.0265800354400473 0 0.45126993502658 0.207914943886592 0.161842882457177 0.019492025989368 0.0750147666863556 0.0283520378027171 0.0147666863555818 0.207324276432369 0.132309509746013 0 0.0531600708800945 0 0.0437093916125221 0.0212640283520378 0.207324276432369 0.132309509746013 0 0.0531600708800945 0 0.0372120496160662 0.0100413467217956 0 0.168340224453633 0.038984051978736 0 0.122268163024217 0 0.0100413467217956 0 0.207324276432369 0 0 0.117542823390431 0
"ERR11006519" 0.821656050955414 0.1156295933366 0 0 0 0 0.0627143557079862 0.612444879960804 0.20921117099461 0 0.344439000489956 0.0847623713865752 0.150906418422342 0 0.0323370896619304 0 0.0151886330230279 0.0132288094071534 0.206271435570799 0 0.109750122488976 0 0 0.0151886330230279 0.0132288094071534 0.206271435570799 0 0.109750122488976 0 0 0.0318471337579618 0 0.0132288094071534 0 0 0.174424301812837 0 0.0318471337579618 0 0.0132288094071534 0 0 0.174424301812837 0
"ERR11006520" 0.851928020565553 0.147043701799486 0.00051413881748072 0 0.00051413881748072 0 0 0.680205655526992 0.17172236503856 0 0.374807197943445 0.128020565552699 0.0832904884318766 0 0.0606683804627249 0.0334190231362468 0.00565552699228792 0.0791773778920308 0.161439588688946 0 0.0838046272493573 0.0185089974293059 0.0262210796915168 0.00565552699228792 0.0956298200514139 0.158868894601542 0 0.0838046272493573 0.0185089974293059 0.0123393316195373 0.0282776349614396 0 0.0591259640102828 0.016452442159383 0.00359897172236504 0.129048843187661 0 0.0118251928020566 0 0.0956298200514139 0 0 0.119280205655527 0
"ERR11006521" 0.868913857677903 0.1294810058855 0 0 0.00160513643659711 0 0 0.85553772070626 0.0133761369716426 0 0.20920278223649 0.154628143392188 0.330123060460139 0.00856072766185126 0.126270733012306 0.0267522739432852 0.00107009095773141 0.0626003210272873 0.0856072766185126 0 0.0310326377742108 0.0219368646334938 0.00695559122525416 0.00107009095773141 0.0626003210272873 0.0791867308721241 0 0.0310326377742108 0.0219368646334938 0.0133761369716426 0.00160513643659711 0 0.0406634563937935 0.0192616372391653 0 0.0604601391118245 0 0.00160513643659711 0 0.0626003210272873 0 0 0.063135366506153 0
"ERR11006522" 0.989784335981839 0.00851305334846765 0 0 0.00170261066969353 0 0 0.959704880817253 0.0300794551645857 0 0.0573212258796822 0.00283768444948922 0.89727582292849 0.000567536889897843 0.00170261066969353 -1.11022302462516e-16 0.00170261066969353 0.0039727582292849 0.00170261066969353 0 0.0499432463110102 0 0 0.00170261066969353 0.0039727582292849 0.00170261066969353 0 0.0499432463110102 0 0 0 0 0.00283768444948922 0.00113507377979569 0 0.00170261066969353 0 0 0 0.0039727582292849 0 0 0.00170261066969353 0
"ERR11006523" 0.830439223697651 0.169050051072523 0 0 0.000510725229826353 0 0 0.800306435137896 0.0301327885597549 0 0.408069458631256 0.203779366700715 0.067926455566905 0.00970377936670072 0.0566905005107252 0.0541368743615934 0.0188968335035751 0.123084780388151 0.135342185903984 0 0.0806945863125638 0.0194075587334014 0.0306435137895812 0.0194075587334014 0.13585291113381 0.137385086823289 0 0.0806945863125638 0.0194075587334014 0.0153217568947906 0.0143003064351379 0 0.108273748723187 0.0117466802860061 0 0.109805924412666 0 0.00510725229826353 0 0.13585291113381 0 0 0.107763023493361 0
"ERR11006524" 0.90283203125 0.095703125 0 0 0 0 0.00146484375 0.875 0.02783203125 0 0.2392578125 0.1474609375 0.3896484375 0 0.0810546875 0.017578125 0.0244140625 0.06591796875 0.06689453125 0 0.04638671875 0.01025390625 0.025390625 0.01220703125 0.08837890625 0.06689453125 0 0.04638671875 0.01025390625 0.01513671875 0.00439453125 0 0.056640625 0.0087890625 0.00048828125 0.0556640625 0 0.001953125 0 0.08837890625 0 0 0.05322265625 0
"ERR11006525" 0.957956015523933 0.0407503234152652 0 0 0 0 0.00129366106080209 0.92496765847348 0.0329883570504528 0 0.641655886157827 0.0944372574385511 0.120957309184994 0.00323415265200517 0.0510996119016818 0.0135834411384216 0.00776196636481242 0.0420439844760673 0.0517464424320828 0 0.529107373868047 0.00582147477360931 0.00517464424320824 0.00776196636481242 0.0433376455368693 0.0517464424320828 0 0.529107373868047 0.00582147477360931 0.00388098318240615 0.00258732212160414 0 0.0381630012936611 0.00388098318240621 0 0.0452781371280724 0 0.00258732212160414 0 0.0433376455368693 0 0 0.0452781371280724 0
"ERR11006526" 0.958220293000543 0.0417797069994574 0 0 0 0 0 0.937059142702116 0.0211611502984265 0 0.578404774823657 0.164405860010852 0.114487249050461 0.0113944655453066 0.0466630493760174 0.0217037438958221 0.0173629951166576 0.112859468258275 0.10363537710255 0 0.325013564839935 0.00434074877916441 0.0151926207270753 0.015735214324471 0.122083559413999 0.10363537710255 0 0.325013564839935 0.00434074877916441 0.00759631036353758 0.00434074877916441 0 0.0911557243624525 0.0151926207270754 0.000542593597395551 0.0819316332067282 0.0010851871947911 0.00434074877916441 0 0.122083559413999 0 0 0.0824742268041237 0
"ERR11006527" 0.79603547209181 0.202399582681273 0 0 0.00156494522691706 0 0 0.794992175273865 0.00104329681794471 0 0.315075639019301 0.357329160146062 0.0511215440792906 0.00208659363588941 0.045905059989567 0.0234741784037559 0.0104329681794471 0.0850286906624935 0.149191444966093 0.00312989045383412 0.0495565988523735 0.0146061554512259 0.00312989045383405 0.0119979134063641 0.0871152842983829 0.149191444966093 0 0.0495565988523735 0.0146061554512259 0.00260824204486171 0.0109546165884194 0.00260824204486176 0.0605112154407929 0.0208659363588941 0.00312989045383412 0.129368805425143 0 0.00678142931664058 0 0.0871152842983829 0 0 0.129368805425143 0
"ERR11006528" 0.890661938534279 0.109338061465721 0 0 0 0 0 0.832151300236407 0.0585106382978723 1.11022302462516e-16 0.65661938534279 0.0738770685579196 0.0537825059101655 0.0041371158392435 0.0307328605200946 0.0130023640661937 0.008274231678487 0.0750591016548463 0.0490543735224586 0 0.515957446808511 0.0041371158392435 0.00413711583924359 0.008274231678487 0.0768321513002364 0.049645390070922 0 0.515957446808511 0.0041371158392435 0.00177304964539016 0.00236406619385343 0 0.0638297872340425 0.0100472813238771 0 0.0431442080378251 0 0.00236406619385343 0 0.0768321513002364 0 0 0.0431442080378251 0
"ERR11006529" 0.983744100681699 0.0152071316203461 0 0 0.0010487676979549 0 0 0.954378605138962 0.0293654955427373 1.11022302462516e-16 0.792868379653907 0.0262191924488726 0.116413214472994 0.0010487676979549 0.00891452543261667 0.0089145254326165 0.00891452543261667 0.0167802831672784 0.0136339800734137 0 0.751966439433665 0.0010487676979549 0.00052438384897735 0.00734137388568432 0.0173046670162559 0.0131095962244363 0 0.751966439433665 0.0010487676979549 0.00209753539590973 0 0 0.0125852123754588 0.00314630309386471 0 0.0115364446775039 0 0 0 0.0173046670162559 0 0 0.0115364446775039 0
"ERR11006530" 0.908996359854394 0.0910036401456058 0 0 0 0 0 0.908996359854394 0 0 0.447217888715549 0.272490899635985 0.0904836193447738 0 0.0764430577223089 0.0223608944357775 0.0197607904316173 0.107644305772231 0.197607904316173 0 0.112844513780551 0.00676027041081643 0.00260010400416016 0.0197607904316173 0.107644305772231 0.197607904316173 0 0.112844513780551 0.00676027041081643 0.00260010400416016 0 0 0.094123764950598 0.0135205408216329 0 0.176807072282891 0 0 0 0.107644305772231 0 0 0.165366614664587 0
"ERR11006531" 0.957549704459968 0.0424502955400322 0 0 0 0 0 0.895217624932832 0.062332079527136 0 0.583019881783987 0.195593766792047 0.0601826974744761 0 0.0198817839871037 0.0365394948952176 0.0687802256851155 0.242880171950564 0.171413218699624 0 0.0940354648038689 0 0.00591080064481453 0.0268672756582483 0.284793121977432 0.171413218699624 0 0.0940354648038689 0 0.00591080064481453 0 0 0.242880171950564 0 0 0.171413218699624 0 0 0 0.284793121977432 0 0 0.171413218699624 0
"ERR11006532" 0.977576335877863 0.0224236641221374 0 0 0 0 0 0.79293893129771 0.184637404580153 1.11022302462516e-16 0.450381679389313 0.150286259541985 0.133587786259542 0 0.00381679389312977 0.0548664122137404 0.0472328244274809 0.212309160305344 0.11736641221374 0 0.0677480916030534 0.00572519083969466 0 0.0434160305343511 0.212309160305344 0.11736641221374 0 0.0677480916030534 0.00572519083969466 0.00381679389312972 0.0119274809160305 0 0.169370229007634 0.0429389312977099 0 0.10543893129771 0 0.0119274809160305 0 0.212309160305344 0 0 0.10543893129771 0
"ERR11006533" 0.944087085601187 0.0559129143988125 0 0 0 0 0 0.802078179119248 0.14200890648194 -1.11022302462516e-16 0.449777337951509 0.173181593270658 0.0856011875309253 0 0.0559129143988125 0.0376051459673429 0.0351311232063335 0.150915388421573 0.218703612073231 0 0.0252350321622959 0.0197921820880752 0 0.0351311232063335 0.150915388421573 0.218703612073231 0 0.0252350321622959 0.0197921820880752 0 0.0316674913409203 0 0.106382978723404 0.0445324096981692 0 0.163780306778822 0 0.0316674913409203 0 0.150915388421573 0 0 0.148441365660564 0
"ERR11006534" 0.897645362806343 0.102354637193657 0 0 0 0 0 0.669870254685248 0.227775108121096 -1.11022302462516e-16 0.363767419509851 0.137914464199904 0.113887554060548 0.000961076405574243 0.0422873618452667 0.0110523786641038 0.0293128303700144 0.15521383950024 0.0860163382988948 0 0.0725612686208554 0.0148966842864008 0.00576645843344548 0.0326765977895243 0.15521383950024 0.0860163382988948 0 0.0725612686208554 0.0148966842864008 0.00240269101393564 0.00576645843344546 0 0.131186929360884 0.0240269101393561 0 0.074963959634791 0 0.00576645843344546 0 0.15521383950024 0 0 0.074963959634791 0
"ERR11006535" 0.839034205231388 0.160965794768612 0 0 0 0 0 0.826961770623742 0.0120724346076459 0 0.426559356136821 0.261569416498994 0.0643863179074447 0.0045271629778672 0.0427565392354125 0.0271629778672032 0.0125754527162978 0.0935613682092555 0.198189134808853 0 0.0804828973843058 0.0311871227364185 0.0105633802816902 0.0105633802816901 0.0940643863179075 0.198189134808853 0 0.0804828973843058 0.0311871227364185 0.0120724346076459 0.0145875251509054 0 0.0779678068410463 0.0145875251509054 0 0.169014084507042 0 0.0125754527162978 0 0.0940643863179075 0 0 0.164486921529175 0
