"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR25482409" 0.92 0.000333333333333333 0.0296666666666667 0.00366666666666667 0.00633333333333333 0.0156666666666667 0.0243333333333333 0.162333333333333 0.757666666666667 0 0.0796666666666667 0.012 0.039 0.0276666666666667 0 0.004 0.009 0.057 0.004 0 0.00233333333333333 0 0.00733333333333332 0.016 0.057 0.004 0 0.00233333333333333 0 0.00033333333333331 0 0 0.0543333333333333 0.00266666666666667 0 0.004 0 0 0 0.057 0 0 0.004 0
"SRR25482407" 0.498333333333333 0.000333333333333333 0.375333333333333 0.022 0.005 0.0693333333333333 0.0296666666666665 0.434666666666667 0.0636666666666667 5.55111512312578e-17 0.293333333333333 0.0463333333333333 0.0413333333333333 0.00733333333333333 0 0.0463333333333333 0.0846666666666667 0.140666666666667 0.039 0.00533333333333333 0.000666666666666667 0.00466666666666667 0.0183333333333334 0.079 0.138666666666667 0.0456666666666667 0.001 0.000666666666666667 0.00466666666666667 0.0236666666666667 0.006 0.00433333333333333 0.0773333333333333 0.059 0 0.0326666666666667 0.0523333333333333 0.006 0 0.138666666666667 0 0 0.0386666666666667 0
"SRR25482406" 0.781 0 0.0276666666666667 0.0463333333333333 0.066 0.00533333333333333 0.0736666666666667 0.328666666666667 0.452333333333333 1.11022302462516e-16 0.121666666666667 0.166 0.0116666666666667 0.021 0 0.0083333333333333 0.001 0.0263333333333333 0.0513333333333333 0.003 0.039 0 0.001 0.00466666666666667 0.0263333333333333 0.0513333333333333 0 0.039 0 0.000333333333333324 0 0 0.024 0.00233333333333333 0 0.0513333333333333 0 0 0 0.0263333333333333 0 0 0.0513333333333333 0
"SRR25482405" 0.833 0.000333333333333333 0.0606666666666667 0.0593333333333333 0.0116666666666667 0.0133333333333333 0.0216666666666667 0.155666666666667 0.677333333333333 0 0.0683333333333333 0.0296666666666667 0.0233333333333333 0.017 0 0.0173333333333333 0.00666666666666667 0.0446666666666667 0.00966666666666667 0.000333333333333333 0.00133333333333333 0.001 0.00466666666666667 0.0103333333333333 0.0436666666666667 0.0103333333333333 0.000333333333333333 0.00133333333333333 0.001 0.00133333333333333 0 0 0.037 0.00766666666666667 0 0.00966666666666667 0.001 0 0 0.0436666666666667 0 0 0.0103333333333333 0
"SRR25482404" 0.836333333333333 0 0.0566666666666667 0.045 0.0103333333333333 0.0226666666666667 0.0289999999999999 0.237333333333333 0.599 0 0.13 0.0453333333333333 0.035 0.0193333333333333 0 0.00766666666666665 0.006 0.0643333333333333 0.0456666666666667 0.00133333333333333 0.000666666666666667 0.001 0.011 0.013 0.062 0.0483333333333333 0.000333333333333333 0.000666666666666667 0.001 0.00466666666666668 0 0 0.047 0.0173333333333333 0 0.0456666666666667 0.000333333333333333 0 0 0.062 0 0 0.0483333333333333 0
"SRR25482403" 0.712 0 0.114333333333333 0.130666666666667 0.008 0.0103333333333333 0.0246666666666668 0.241666666666667 0.470333333333333 0 0.108 0.103 0.0126666666666667 0.007 0 0.011 0.001 0.038 0.0413333333333333 0.00233333333333333 0.0186666666666667 0.000666666666666667 0.00599999999999999 0.009 0.038 0.0416666666666667 0 0.0186666666666667 0.000666666666666667 0 0 0 0.035 0.00266666666666667 0 0.0413333333333333 0.000666666666666667 0 0 0.038 0 0 0.0416666666666667 0
"SRR25482402" 0.649666666666667 0 0.054 0.255666666666667 0 0 0.0406666666666666 0.486333333333333 0.163333333333333 0 0.118 0.344 0.013 0.00866666666666667 0.00233333333333333 0.000333333333333352 0 0.00633333333333333 0.088 0 0.0226666666666667 0.000333333333333333 0.000666666666666663 0.000333333333333333 0.00633333333333333 0.088 0 0.0226666666666667 0.000333333333333333 0.000333333333333324 0.000333333333333333 0 0.005 0.00133333333333333 0 0.0823333333333333 0 0.000333333333333333 0 0.00633333333333333 0 0 0.0876666666666667 0
"SRR25482401" 0.556 0.000666666666666667 0.125666666666667 0.252 0 0.000666666666666667 0.0649999999999998 0.438333333333333 0.117666666666667 0 0.172 0.237333333333333 0.0133333333333333 0.00233333333333333 0.0113333333333333 0.002 0 0.003 0.14 0 0.0223333333333333 0 0.00666666666666663 0 0.00233333333333333 0.141 0 0.0223333333333333 0 0.00633333333333333 0.000666666666666667 0 0.00233333333333333 0 0.000666666666666667 0.136333333333333 0 0.000666666666666667 0 0.00233333333333333 0 0 0.140333333333333 0
"SRR25482400" 0.717333333333333 0 0.137333333333333 0.117 0 0 0.0283333333333333 0.54 0.177333333333333 0 0.271333333333333 0.253 0.0146666666666667 0 0.000333333333333333 0.000666666666666704 0 0.0593333333333333 0.196666666666667 0.000333333333333333 0.0123333333333333 0 0.00266666666666665 0.000333333333333333 0.059 0.198666666666667 0.000333333333333333 0.0123333333333333 0 0.000666666666666649 0.000333333333333333 0 0.0553333333333333 0.004 0 0.179333333333333 0 0.000333333333333333 0 0.059 0 0 0.198333333333333 0
"SRR25482399" 0.766666666666667 0 0.0366666666666667 0.153333333333333 0.001 0.000333333333333333 0.042 0.629666666666667 0.137 0 0.195333333333333 0.406 0.0253333333333333 0 0.002 0.001 0 0.00233333333333333 0.175333333333333 0 0.0166666666666667 0 0.001 0 0.00233333333333333 0.175666666666667 0 0.0166666666666667 0 0.000666666666666677 0 0 0.00233333333333333 0 0 0.173666666666667 0 0 0 0.00233333333333333 0 0 0.175333333333333 0
"SRR25482398" 0.688 0 0.0663333333333333 0.214333333333333 0.005 0 0.0263333333333334 0.565333333333333 0.122666666666667 -1.11022302462516e-16 0.184666666666667 0.350333333333333 0.0126666666666667 0.000666666666666667 0.0143333333333333 0.0026666666666666 0 0.000333333333333333 0.143 0 0.0356666666666667 0 0.00566666666666668 0 0.000333333333333333 0.143333333333333 0 0.0356666666666667 0 0.00533333333333333 0 0 0.000333333333333333 0 0 0.137333333333333 0 0 0 0.000333333333333333 0 0 0.143333333333333 0
