"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR23968710" 0.618 0.00366666666666667 0.00433333333333333 0.000333333333333333 0 0.201333333333333 0.172333333333333 0.617333333333333 0.000666666666666667 0 0.323 0.00766666666666667 0.250666666666667 0.006 0 0.03 0.00533333333333333 0.309666666666667 0.001 0 0 0 0.00700000000000001 0.0123333333333333 0.309666666666667 0.001 0 0 0 5.55111512312578e-17 0 0 0.015 0 0 0.001 0 0 0 0.309666666666667 0 0 0.001 0
"SRR23968703" 0.497666666666667 0.0726666666666667 0.0156666666666667 0.00466666666666667 0.320333333333333 0.0503333333333333 0.0386666666666665 0.152666666666667 0.345 0 0.059 0.01 0.069 0.000666666666666667 0.000333333333333333 0.0136666666666667 0.000333333333333333 0.05 0.000666666666666667 0 0.000333333333333333 0 0.00766666666666666 0.00666666666666667 0.05 0.000666666666666667 0 0.000333333333333333 0 0.00133333333333333 0 0 0.016 0.000666666666666667 0 0.000666666666666667 0 0 0 0.05 0 0 0.000666666666666667 0
"SRR23968709" 0.938666666666667 0.0206666666666667 0 0 0 0.00466666666666667 0.0359999999999999 0.0283333333333333 0.910333333333333 0 0.00166666666666667 0 0.02 0 0 0.00666666666666666 0.00133333333333333 0.000333333333333333 0 0 0 0 2.16840434497101e-19 0.00133333333333333 0.000333333333333333 0 0 0 0 2.16840434497101e-19 0 0 0 0 0 0 0 0 0 0.000333333333333333 0 0 0 0
"SRR23968702" 0.542333333333333 0.268 0.0303333333333333 0.0263333333333333 0.0196666666666667 0.0703333333333333 0.0429999999999999 0.483333333333333 0.059 0 0.039 0.012 0.383666666666667 0.0206666666666667 0 0.028 0.001 0.024 0.00866666666666667 0 0 0 0.00533333333333334 0.00633333333333333 0.0236666666666667 0.00833333333333333 0 0 0 0.00066666666666667 0.00266666666666667 0 0.0143333333333333 0.00466666666666667 0.000333333333333333 0.006 0 0.00233333333333333 0 0.0236666666666667 0 0 0.006 0
"SRR23968707" 0.577 0.0123333333333333 0.21 0.0396666666666667 0.0103333333333333 0.0823333333333333 0.0683333333333335 0.515 0.062 0 0.230666666666667 0.111666666666667 0.155666666666667 0.013 0.003 0.001 0.004 0.069 0.140666666666667 0 0.00166666666666667 0.0136666666666667 0.00166666666666665 0.004 0.069 0.140666666666667 0 0.00166666666666667 0.0136666666666667 0.00166666666666665 0 0 0.0133333333333333 0.0336666666666667 0 0.138666666666667 0 0 0 0.069 0 0 0.138666666666667 0
"SRR23968700" 0.405947210157033 0.0634814567323755 0.0300701637153358 0.0444370197126629 0.313063815569663 0.0811894420314066 0.0618108920815236 0.208152355496158 0.197794854660875 0 0.0775141997995322 0.00400935516204477 0.112930170397594 0 0 0.0136986301369863 0.00200467758102239 0.032743067156699 0.00868693618443034 0 0.000668225860340795 0.0140327430671567 0.0193785499498831 0.00668225860340795 0.034413631807551 0.00868693618443034 0 0.000668225860340795 0.0140327430671567 0.0130304042766455 0 0 0.021049114600735 0 0 0.00868693618443034 0 0 0 0.034413631807551 0 0 0.00868693618443034 0
"SRR23968708" 0.624 0.222333333333333 0.024 0 0 0.117 0.0126666666666666 0.551 0.073 0 0.300666666666667 0 0.225333333333333 0.025 0 0 0 0.300666666666667 0 0 0 0 0 0 0.300666666666667 0 0 0 0 0 0 0 0.129333333333333 0 0 0 0 0 0 0.300666666666667 0 0 0 0
"SRR23968701" 0.470333333333333 0.169333333333333 0.0106666666666667 0.00266666666666667 0.267666666666667 0.0443333333333333 0.0349999999999999 0.195666666666667 0.274333333333333 0.000333333333333352 0.047 0.001 0.124666666666667 0.022 0 0.001 0 0.0413333333333333 0 0 0 0 0.00566666666666667 0.00566666666666667 0.0413333333333333 0 0 0 0 0 0 0 0.026 0.00366666666666667 0 0 0 0 0 0.0413333333333333 0 0 0 0
"SRR23968706" 0.501 0.139 0.0246666666666667 0.002 0.029 0.177333333333333 0.127 0.468333333333333 0.0326666666666667 0 0.180333333333333 0.00233333333333333 0.267333333333333 0.002 0 0.0163333333333334 0.00466666666666667 0.171 0 0.000666666666666667 0 0 0.00399999999999998 0.00833333333333333 0.171 0 0 0 0 0.001 0 0 0.145 0.000666666666666667 0 0 0 0 0 0.171 0 0 0 0
"SRR23968699" 0.467666666666667 0.044 0.109 0.102666666666667 0.093 0.107666666666667 0.076 0.301666666666667 0.166 0 0.096 0.0283333333333333 0.127 0.000333333333333333 0.00166666666666667 0.0483333333333333 0.001 0.043 0.043 0 0.001 0 0.00800000000000001 0.009 0.043 0.043 0 0.001 0 0 0.00366666666666667 0 0.0293333333333333 0.002 0 0.0393333333333333 0 0 0 0.043 0 0 0.0393333333333333 0
"SRR23968712" 0.476 0.313 0.0166666666666667 0.0143333333333333 0.129 0.033 0.018 0.371333333333333 0.104666666666667 -5.55111512312578e-17 0.196 0.0143333333333333 0.122 0.00466666666666667 0 0.0343333333333333 0 0.162666666666667 0.006 0 0 0 0.0273333333333333 0.0273333333333333 0.162666666666667 0.006 0 0 0 0 0 0 0.154333333333333 0.00833333333333333 0 0.006 0 0 0 0.162666666666667 0 0 0.006 0
"SRR23968711" 0.215666666666667 0.103666666666667 0.195666666666667 0.0156666666666667 0.382 0.0586666666666667 0.0286666666666666 0.163666666666667 0.052 2.77555756156289e-17 0.0583333333333333 0 0.0933333333333333 0.00566666666666667 0.00233333333333333 0.004 0.000333333333333333 0.0543333333333333 0 0 0 0.001 0.00266666666666667 0.00266666666666667 0.0543333333333333 0 0 0 0.001 0.000333333333333338 0 0 0.0263333333333333 0 0 0 0 0 0 0.0543333333333333 0 0 0 0
