"PRJDB13521_250_220" "PRJEB36420_220_220" "PRJEB40635_280_250" "PRJEB43933_250_250" "PRJEB59055_240_240" "PRJNA1001021-5k_240_240" "PRJNA1134710_300_300" "PRJNA665460_250_250" "PRJNA718425_280_280" "PRJNA867490_250_250" "PRJNA290145_220_200" "PRJNA558995_250_250" "PRJNA948675_250_250" "PRJNA729807_280_250"
"Phylum=Pseudomonadota" 0.349 0.251 0.22 0.776 0.883 0.699 0.316 0.419 0.553 0.707 0.4 0.481 0.521 0.33
"Phylum=Cyanobacteriota" 0.081 0.475 0.436 0.091 0.081 0.002 0.586 0.507 0.157 0 0.127 0.336 0.138 0.002
"Phylum=Actinomycetota" 0.289 0.133 0.064 0.006 0.002 0.099 0.042 0.009 0.026 0.134 0.029 0.013 0.053 0.342
"Phylum=Bacteroidota" 0.026 0.119 0.033 0.121 0.001 0.079 0.015 0.058 0.1 0.046 0.059 0.035 0.02 0.198
"Phylum=Bacillota" 0.179 0.003 0.018 0.001 0.029 0.011 0.002 0.002 0.002 0.005 0.004 0.001 0.121 0.007
"Phylum=Acidobacteriota" 0.021 0.002 0.079 0.001 0 0.06 0.013 0 0.134 0.064 0.029 0.081 0.088 0.02
"Phylum=other_Bacteria" 0.056 0.016 0.15 0.004 0.003 0.05 0.026 0.004 0.029 0.044 0.352 0.053 0.061 0.103
"Class=Alphaproteobacteria" 0.214 0.167 0.184 0.773 0.81 0.504 0.235 0.308 0.45 0.384 0.329 0.229 0.345 0.232
"Class=Gammaproteobacteria" 0.135 0.084 0.036 0.002 0.073 0.195 0.082 0.111 0.104 0.323 0.041 0.252 0.176 0.098
"Class=other_Pseudomonadota" 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0
"Order=Hyphomicrobiales" 0.076 0.068 0.028 0.311 0.393 0.299 0.072 0.144 0.158 0.172 0.047 0.078 0.135 0.139
"Order=Sphingomonadales" 0.062 0.056 0.012 0.003 0.162 0.11 0.051 0.118 0.114 0.133 0.038 0.028 0.016 0.023
"Order=Acetobacterales" 0.016 0.018 0.05 0.016 0.15 0.053 0.007 0.006 0.159 0.019 0.02 0.081 0.165 0.06
"Order=Rickettsiales" 0.04 0.023 0.067 0.443 0.005 0.006 0.09 0.039 0.003 0.001 0.203 0.004 0.011 0.003
