"Hyphomicrobiales_RHAL1_NA" "Hyphomicrobiales_Methylobacteriaceae_Methylobacterium" "Hyphomicrobiales_Lichenihabitantaceae_Lichenifustis" "Hyphomicrobiales_Lichenihabitantaceae_Lichenibacterium" "Hyphomicrobiales_NA_NA" "Hyphomicrobiales_JAJXWB01_NA" "Caulobacterales_Caulobacteraceae_NA" "Hyphomicrobiales_Lichenihabitantaceae_NA" "Hyphomicrobiales_Rhodoblastaceae_Rhodoblastus" "Hyphomicrobiales_Methylobacteriaceae_NA" "Caulobacterales_Caulobacteraceae_Brevundimonas" "Hyphomicrobiales_Bradyrhizobiaceae_Tardiphaga" "Caulobacterales_Caulobacteraceae_Phenylobacterium" "Hyphomicrobiales_Methylobacteriaceae_Enterovirga" "Rhodospirillales_Acetobacteraceae_NA" "Hyphomicrobiales_Hyphomicrobiaceae_NA" "NA_NA_NA" "Hyphomicrobiales_Aurantimonadaceae_NA" "Hyphomicrobiales_Beijerinckiaceae_NA" "Hyphomicrobiales_Rhizobiaceae_Rhizobium" "Hyphomicrobiales_Bradyrhizobiaceae_Bradyrhizobium" "Rhodospirillales_NA_NA" "Hyphomicrobiales_Methylocystaceae_NA" "Hyphomicrobiales_Hyphomicrobiaceae_Devosia" "Hyphomicrobiales_Phyllobacteriaceae_Mesorhizobium" "Hyphomicrobiales_Aurantimonadaceae_Aureimonas" "Hyphomicrobiales_Brucellaceae_Ochrobactrum" "Hyphomicrobiales_Phyllobacteriaceae_NA" "Hyphomicrobiales_Bradyrhizobiaceae_NA" "Caulobacterales_Caulobacteraceae_Caulobacter" "Hyphomicrobiales_Methylocystaceae_Methylocystis" "Sphingomonadales_Sphingomonadaceae_Sphingomonas" "Hyphomicrobiales_Methylobacteriaceae_Microvirga" "Caulobacterales_NA_NA" "Rhodospirillales_Acetobacteraceae_Roseomonas" "Hyphomicrobiales_Boseaceae_Bosea" "Hyphomicrobiales_Rhizobiaceae_Shinella" "Hyphomicrobiales_Bradyrhizobiaceae_Afipia"
"MSH.04.01.C" 126 1862 517 242 182 0 19 7 0 13 0 0 0 0 4 0 20 5 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
"SBL.04.04.E" 665 174 12 1376 428 2 175 40 2 33 56 0 0 17 0 0 6 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.06.06.E" 481 1406 34 646 283 0 16 8 0 37 0 0 8 0 0 0 8 0 0 0 1 0 0 2 66 0 0 0 4 0 0 0 0 0 0 0 0 0
"MSH.04.06.G" 88 1180 412 1032 187 0 7 0 0 12 0 0 0 6 38 0 0 2 0 0 0 1 9 4 0 21 0 0 0 0 0 1 0 0 0 0 0 0
"MSH.01.04.C" 119 1044 196 1301 160 0 4 0 0 79 0 0 37 7 12 0 11 0 0 0 6 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.02.01.G" 859 347 20 1367 274 0 55 4 2 10 24 0 0 1 2 0 16 9 2 0 5 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"SBL.03.03.A" 462 681 12 917 567 0 235 14 0 65 12 0 0 30 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"SBL.01.10.G" 1058 129 13 1047 453 18 89 10 3 54 35 0 12 46 0 0 3 0 6 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.04.01.E" 798 461 48 916 597 2 24 33 5 26 24 0 0 45 1 0 0 0 11 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SBL.01.04.E" 889 287 54 1081 374 15 39 4 24 27 141 0 28 0 2 0 7 0 25 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MSH.04.07.G" 183 1777 208 410 271 0 16 11 0 13 0 0 5 0 3 0 2 6 1 5 0 0 6 76 0 7 0 0 0 0 0 0 0 0 0 0 0 0
