Sample	SRA	Name
METH-00-00-00	SRR14532312	MET.PL1.16S
MSH-01-03-C	SRR14532326	T05.PL1.16S
SBL-03-03-G	SRR14532301	T101.PL1.16S
SBL-01-10-A	SRR14532225	T107.PL1.16S
SBL-03-08-G	SRR14532421	T110.PL1.16S
SBL-01-10-E	SRR14532398	T111.PL1.16S
SBL-03-10-A	SRR14532350	T118.PL1.16S
SBL-03-08-A	SRR14532347	T119.PL1.16S
SBL-01-03-G	SRR14532345	T121.PL1.16S
SBL-03-10-G	SRR14532343	T122.PL1.16S
MSH-04-06-E	SRR14532341	T123.PL1.16S
MSH-04-02-E	SRR14532331	T130.PL1.16S
MSH-04-04-G	SRR14532328	T133.PL1.16S
MSH-04-06-C	SRR14532323	T136.PL1.16S
MSH-04-02-G	SRR14532320	T138.PL1.16S
SBL-03-03-A	SRR14532318	T139.PL1.16S
SBL-01-10-G	SRR14532313	T142.PL1.16S
SBL-03-07-E	SRR14532306	T146.PL1.16S
SBL-01-02-E	SRR14532302	T15.PL1.16S
SBL-03-03-E	SRR14532297	T152.PL1.16S
SBL-03-08-E	SRR14532289	T160.PL1.16S
SBL-01-02-A	SRR14532286	T162.PL1.16S
MSH-01-05-C	SRR14532284	T163.PL1.16S
SBL-03-10-E	SRR14532277	T168.PL1.16S
SBL-03-07-G	SRR14532274	T17.PL1.16S
MSH-04-02-A	SRR14532241	T20.PL1.16S
SBL-03-08-C	SRR14532433	T39.PL1.16S
MSH-01-05-A	SRR14532430	T41.PL1.16S
SBL-01-02-C	SRR14532423	T49.PL1.16S
SBL-01-10-C	SRR14532419	T51.PL1.16S
SBL-03-03-C	SRR14532415	T54.PL1.16S
MSH-01-03-G	SRR14532412	T56.PL1.16S
SBL-01-07-C	SRR14532409	T57.PL1.16S
SBL-01-02-G	SRR14532406	T61.PL1.16S
MSH-04-04-A	SRR14532404	T62.PL1.16S
SBL-03-07-A	SRR14532400	T66.PL1.16S
MSH-04-06-A	SRR14532394	T70.PL1.16S
SBL-01-07-E	SRR14532391	T74.PL1.16S
SBL-01-07-A	SRR14532388	T76.PL1.16S
MSH-04-04-E	SRR14532385	T77.PL1.16S
SBL-01-03-A	SRR14532380	T81.PL1.16S
MSH-01-05-G	SRR14532377	T83.PL1.16S
MSH-04-02-C	SRR14532373	T86.PL1.16S
MSH-04-04-C	SRR14532369	T89.PL1.16S
MSH-01-03-E	SRR14532366	T91.PL1.16S
SBL-01-03-E	SRR14532360	T95.PL1.16S
SBL-01-07-G	SRR14532357	T98.PL1.16S
