"Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"Bosea_thiooxidans__DSM_9653__AJ250796" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Bosea"
"Alsobacter_metallidurans__SK200a-9__AB231946" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_Incertae_Sedis" "Alsobacter"
"Methylorosula_polaris__V-022__EU586035" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylocella"
"Methylocella_palustris__K__Y17144" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylocella"
"Beijerinckia_indica__ATCC_9039__M59060" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Beijerinckia"
"Methylocapsa_acidiphila__B_2__AJ278726" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylocapsa"
"Methyloferula_stellata__DSM_22108__FR686343" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methyloferula"
"Methylovirgula_ligni__DSM_19998__FM252034" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylovirgula"
"Pseudochelatococcus_lubricantis__MPA_1113__KJ886939" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Qingshengfania"
"Camelimonas_lactis__CCM_7696__MT760168" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Camelimonas"
"Chelatococcus_asaccharovorans__TE2__AJ294349" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Chelatococcus"
"Lichenibacterium_ramalinae__RmlP001__MG996730" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "1174-901-12"
"Lichenihabitans_psoromatis__PAMC_29148__MK344722" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA
"Lichenifustis_flavocetrariae__BP6-180914__OP023140" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "1174-901-12"
"Saliniramus_fredricksonii__HL-109__KR560061" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Salinarimonas"
"Salinarimonas_rosea__YIM_YD3__EU878006" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Salinarimonas"
"Enterovirga_rhinocerotis__YIM_100770__KC992737" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA
"Methylobacterium_organophilum__ATCC_27886__AB175638" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylobacterium-Methylorubrum"
"Microvirga_subterranea__FaiI4__AY078053" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Microvirga"
"Hohaiivirga_grylli__WL0021__PP504832" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" NA
"Methylorubrum_extorquens__IAM_12631__AB175632" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylobacterium-Methylorubrum"
