Short	Familly	Species	Isolate	Genome_File	RAST_file	Type	Source	Genome_Folder
seq96	Alsobacteraceae	Alsobacter_metallidurans	NA	GCA_014636935.1_ASM1463693v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425162.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq103	Alsobacteraceae	Alsobacter_ponti	NA	GCA_024294805.1_ASM2429480v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425169.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq87	Alsobacteraceae	Alsobacter_soli	NA	GCA_003004785.1_ASM300478v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425153.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq124	Beijerinckiaceae	Beijerinckia_indica	NA	GCF_000019845.1_ASM1984v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425190.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq127	Beijerinckiaceae	Beijerinckia_mobilis	NA	GCF_000745425.1_ASM74542v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425193.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq126	Beijerinckiaceae	Methylocapsa_acidiphila	NA	GCF_000427445.1_ASM42744v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425192.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq128	Beijerinckiaceae	Methylocapsa_aurea	NA	GCF_000746085.1_ASM74608v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425194.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq160	Beijerinckiaceae	Methylocapsa_palsarum	NA	GCF_900114285.1_IMG-taxon_2675903028_annotated_assembly_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151854.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq131	Beijerinckiaceae	Methylocapsa_polymorpha	NA	GCF_045689225.1_ASM4568922v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1425197.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
seq161	Beijerinckiaceae	Methylocella_silvestris	NA	GCF_000021745.1_ASM2174v1_genomic.fna	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/RAST-files/6666666.1151855.txt	Genomics	NA	/Users/jean-baptisteleducq/Dropbox/Lichenibacterium/Available-Genome-Ressources/Genomes/Additional-References/
