"isolate" "size" "contigs" "N50" "GC" "peg" "rna" "repeat" "other" "unique" "hypothetical" "at-" "ta-" "cg-" "gc-" "ac-gt" "ag-ct" "tc-ga" "tg-ca" "aa-tt" "cc-gg"
"1" "seq96" "5082645" "8" "2245067" "0.676435096142022" "4829" "55" "34" "0" "2195" "1887" "0.0354" "0.011" "0.1408" "0.1341" "0.0929" "0.1004" "0.1315" "0.1106" "0.0596" "0.1839"
"2" "seq103" "4727519" "56" "172443" "0.698840766160855" "4405" "50" "0" "0" "2092" "1672" "0.031" "0.0092" "0.1556" "0.1409" "0.0938" "0.0971" "0.1336" "0.1009" "0.0482" "0.1896"
"3" "seq87" "5190571" "96" "173971" "0.685190351310508" "5079" "49" "0" "0" "2225" "2098" "0.0326" "0.01" "0.1358" "0.1306" "0.0911" "0.1051" "0.1329" "0.1084" "0.0534" "0.2"
"4" "seq124" "4418616" "3" "4170153" "0.5698295574904" "4510" "58" "120" "0" "1915" "2079" "0.064" "0.0233" "0.0985" "0.098" "0.0837" "0.1036" "0.1448" "0.124" "0.1148" "0.1452"
"5" "seq127" "4320537" "57" "193954" "0.572369179698951" "4547" "45" "0" "22" "1828" "2383" "0.0645" "0.023" "0.1022" "0.0989" "0.0843" "0.1015" "0.1463" "0.1226" "0.1128" "0.144"
"6" "seq126" "4103433" "2" "3916740" "0.618490760371657" "4467" "51" "62" "0" "1853" "2252" "0.0525" "0.0178" "0.1323" "0.1201" "0.0775" "0.1026" "0.1495" "0.1" "0.0965" "0.1514"
"7" "seq128" "3971247" "34" "227045" "0.613412571534487" "4331" "48" "0" "40" "1911" "2108" "0.0545" "0.0174" "0.1259" "0.1193" "0.0751" "0.1008" "0.1445" "0.1057" "0.1016" "0.1551"
"8" "seq160" "4105299" "78" "219649" "0.617452224551732" "4435" "47" "0" "0" "1971" "2036" "0.0499" "0.0163" "0.1307" "0.1136" "0.0848" "0.099" "0.1497" "0.1013" "0.099" "0.1559"
"9" "seq131" "4311716" "2" "4020733" "0.611729761422135" "4821" "49" "67" "0" "1963" "2428" "0.0536" "0.0186" "0.1273" "0.1185" "0.0778" "0.1037" "0.1475" "0.104" "0.0995" "0.1494"
"10" "seq161" "4305430" "1" "4305430" "0.63083362172884" "4514" "51" "15" "0" "2314" "1600" "0.0506" "0.016" "0.1378" "0.1285" "0.0772" "0.0996" "0.1434" "0.1026" "0.0912" "0.1532"
"11" "seq130" "4422208" "3" "3909517" "0.617925932023098" "4666" "55" "124" "0" "2139" "1956" "0.0523" "0.0169" "0.1305" "0.1216" "0.0802" "0.1012" "0.1455" "0.1067" "0.0961" "0.149"
"12" "seq125" "4235448" "1" "4235448" "0.595430046597196" "4216" "47" "23" "0" "1911" "1947" "0.0592" "0.0204" "0.1204" "0.1132" "0.0813" "0.1002" "0.1462" "0.1129" "0.1046" "0.1416"
"13" "seq129" "3298588" "1" "3298588" "0.623065687500227" "3336" "47" "14" "0" "1688" "1397" "0.0528" "0.0179" "0.133" "0.124" "0.0826" "0.099" "0.1429" "0.1085" "0.0897" "0.1496"
"14" "seq111" "5560387" "1" "5560387" "0.66097644142801" "5435" "48" "22" "0" "2229" "2190" "0.0451" "0.0125" "0.1376" "0.131" "0.0817" "0.1072" "0.1464" "0.1077" "0.06" "0.1708"
"15" "seq89" "6173500" "42" "429739" "0.669118976269539" "5916" "51" "0" "0" "2280" "2456" "0.0416" "0.0121" "0.1392" "0.1354" "0.0824" "0.1091" "0.1423" "0.1081" "0.0562" "0.1735"
"16" "seq118" "6232162" "151" "176200" "0.66378556142799" "6355" "47" "0" "0" "2436" "2683" "0.0431" "0.012" "0.138" "0.1331" "0.0824" "0.1093" "0.1454" "0.1086" "0.0583" "0.1698"
"17" "seq121" "5918613" "25" "399699" "0.648013615668293" "5755" "67" "0" "0" "2338" "2257" "0.0476" "0.0134" "0.1308" "0.1267" "0.0842" "0.1062" "0.1446" "0.1143" "0.0664" "0.1659"
"18" "seq122" "6128076" "24" "569462" "0.66668967551969" "6097" "50" "0" "0" "2437" "2351" "0.043" "0.0117" "0.1388" "0.1345" "0.0818" "0.1093" "0.145" "0.1087" "0.0562" "0.171"
"19" "seq117" "6029549" "168" "123650" "0.66998886297881" "6227" "52" "0" "0" "2339" "2815" "0.0419" "0.0109" "0.1396" "0.1318" "0.0839" "0.1063" "0.1452" "0.1072" "0.0559" "0.1773"
"20" "seq105" "4715150" "45" "280966" "0.685861531446508" "4760" "54" "0" "0" "2150" "1876" "0.0403" "0.0102" "0.1472" "0.1403" "0.077" "0.1052" "0.1422" "0.1002" "0.0514" "0.1861"
"21" "seq86" "6392805" "58" "240942" "0.658388852586117" "6177" "52" "0" "0" "2409" "2340" "0.0464" "0.0119" "0.1344" "0.1321" "0.08" "0.1074" "0.1442" "0.1122" "0.0613" "0.1698"
"22" "seq120" "5279103" "21" "568074" "0.663413651902605" "5130" "51" "0" "0" "2235" "1882" "0.0449" "0.012" "0.138" "0.1318" "0.0811" "0.1069" "0.1461" "0.1077" "0.0588" "0.1727"
"23" "seq112" "6187156" "154" "93037" "0.668859812165719" "6165" "52" "0" "0" "2396" "2510" "0.0419" "0.0115" "0.1391" "0.1343" "0.0811" "0.1093" "0.1446" "0.1067" "0.0568" "0.1746"
"24" "seq99" "5926429" "64" "303590" "0.663832638507945" "5853" "49" "0" "0" "2389" "2151" "0.0445" "0.0116" "0.1386" "0.1319" "0.0811" "0.1065" "0.1461" "0.1073" "0.0595" "0.1728"
"25" "seq123" "5369373" "34" "257505" "0.673843482283686" "5277" "49" "0" "0" "2276" "1991" "0.0421" "0.0108" "0.1415" "0.1353" "0.0802" "0.1074" "0.1449" "0.1054" "0.0543" "0.1781"
"26" "seq85" "6713548" "2" "6373793" "0.654117912019099" "6529" "54" "209" "0" "2449" "2589" "0.0467" "0.0126" "0.133" "0.1301" "0.0814" "0.1075" "0.1444" "0.1127" "0.0635" "0.168"
